P01901859A0000|0 64|UDP-Gal:Gal beta 1----4GlcNAc alpha 1----3-galactosyltransferase
P07772036A1000|101 117|nuclear factor 1
P09760243A0970|101 117|apoCIII promoter
P07588608A1687|101 116|i.e.gag-myb-ets
P10862289A0289|101 116|IgG anti bodies
P08230418A0812|101 116|simian virus 40
P02497340A0989|101 115|Vk light chain
P07590264A0373|101 115|DHFR and mRNAs
P08576131A0151|101 115|44-kDa subunit
P07579683A0660|101 115|c-myc promoter
P11309373A0783|101 114|mCTR isoforms
P10196318T0000|101 113|E1 promoters
P11416012A1982|101 113|LDL receptor
P10413607A0085|101 112|collagen VI
P01545792A0492|101 111|MLC-2 gene
P09438427T0000|101 111|Hoxa1 gene
P10037681A0494|101 111|human PLD1
P08438584T0000|101 111|C1-C2 gene
P02011924A0729|101 110|alpha-IFN
P09011744A0790|101 110|epsilon 2
P09620873A1710|101 110|PKC-delta
P08647086T0000|101 110|cyclin D1
P03537721A0876|101 110|PEP4 gene
P02582918A0000|101 109|anti-HBs
P07823919A1422|101 109|COUP-TFI
P07592946A0997|101 109|AP-2 box
P06090458A0407|101 108|TK gene
P08662852A1297|101 108|beta2AR
P07823964A0922|101 107|Pho81p
P10942587A0981|101 107|HPV E6
P09823775A1122|101 107|Oct-2A
P08128629A1164|101 107|p40CRS
P02511069A0532|101 106|Df(3L
P09891049A0761|101 106|Rnt1p
P11358962A0344|101 106|Foxp2
P07791769A0826|101 106|TFIIB
P09162092A0675|101 106|MEKK3
P02674679A1237|101 105|dhfr
P09927449A0421|101 105|CLN1
P07969152A0721|101 105|CUP1
P09445488A1169|101 105|SUR1
P09315631A1064|101 105|POR1
P08016102A1238|101 105|AP-2
P11521191A0000|101 105|p130
P10358138A0672|101 105|SLAM
P09545323T0000|101 105|MLH1
P10233147A0218|101 105|MAPK
P09259320A0830|101 105|DSBP
P09466267A1192|101 105|lacZ
P10501965A0879|101 105|Rsk3
P11250942A0626|101 105|AF-2
P08394464A1080|101 105|p176
P02182618A0168|101 104|CAT
P08187085A0086|101 104|ret
P10529198A0068|101 104|Sos
P09549632A1189|101 104|ALT
P10684111A1411|101 104|p42
P11012680A0676|101 104|Src
P10329625A0715|101 104|Id3
P11042204A0186|101 104|Akt
P10890911A0470|101 104|Wnt
P09633630A0740|101 104|v/v
P09236224A0939|101 104|NGF
P10491213A0263|101 104|BGP
P02296509A0997|101 104|p24
P00055040A0000|101 103|IF
P09552469A0225|101 103|IR
P09892662A0334|101 103|Gs
P00427715A0000|101 102|B
P08816052A0238|101 102|K
P09694725A0500|102 144|gamma interferon activation site-like site
P07580058A0000|102 133|plasminogen activator inhibitor
P10359792A0610|102 128|dCtBP corepressor proteins
P09234727A0770|102 127|Gal4-binding DNA elements
P08234276A0556|102 126|NF-kappa B binding sites
P11355576A1125|102 126|tumor suppressor protein
P10406466A0000|102 126|orphan nuclear receptors
P09710621A0598|102 126|Neu juxtamembrane domain
P08887674A0630|102 125|Ets-responsive elements
P08455611A0154|102 124|zeta 2 globin promoter
P11282395A1073|102 124|kappaL chain gene loci
P09371622A0779|102 124|lac operator sequences
P09925372A0458|102 124|Kruppel-associated box
P02145268A0746|102 123|type I collagen genes
P00503336A0285|102 122|alkaline phosphatase
P09371431A1172|102 122|thiCOGE gene cluster
P08485317A0000|102 122|61-kd protein kinase
P08112601T0000|102 121|recombinant protein
P09813254A0000|102 121|anti-viral proteins
P08057421A1583|102 120|CBF1 binding sites
P11390663A1400|102 120|Gcn4p target genes
P08617216A0584|102 120|firefly luciferase
P11155096A0222|102 120|thyroid peroxidase
P09417493A0823|102 120|C-reactive protein
P07782775A0889|102 119|BBTV coat protein
P01404401A0740|102 118|chloroplast gene
P09108029A0399|102 116|redox factor 1
P10720434A0291|102 116|cyclin B1 mRNA
P09190202A0166|102 116|Sec13p protein
P11200568A0830|102 116|IgG antibodies
P09294139A0729|102 116|murine homolog
P03001086A0587|102 115|Xenopus hsp70
P11509615T0000|102 115|IL-2 receptor
P08546707T0000|102 115|NF-kappa Bp50
P03275873A0379|102 114|mutant genes
P05170106T0034|102 114|chymotrypsin
P09858593A0334|102 114|insulin gene
P10549354A1782|102 114|beta-catenin
P09516472A0292|102 114|Id4 promoter
P09027506T0000|102 113|eIF-(iso)4F
P02256678A1224|102 112|HSC82 gene
P09148770A0977|102 112|SH2 domain
P11250196A0455|102 112|two-domain
P07936650A0656|102 112|p58c-ets-2
P02105497A1092|102 111|BiP genes
P10850453A0713|102 111|TGF-beta1
P10369418A0644|102 111|NF-kappaB
P11029700A0746|102 111|rice CDKs
P07760790A0327|102 111|MEF2 site
P01978834A0076|102 110|rabbit H
P08400240A0166|102 110|A gamma*
P07937132A0819|102 110|28S rRNA
P01380454A0451|102 109|Fos-Jun
P11018028A0263|102 109|CDC25Mm
P01825027T0000|102 109|ATPases
P09083291A1378|102 108|cdks 4
P10857751A0304|102 108|CEHARP
P01532229A1264|102 107|MEF-2
P10209119A0076|102 107|Cdc4p
P08119907A0000|102 107|IGF-I
P09733794A1323|102 107|KCREB
P08253387A0801|102 107|TCF-2
P10567589A1268|102 107|Pmt3p
P01767592A0682|102 106|HAP2
P09341193A0362|102 106|TRE1
P07864652A1901|102 106|E2L1
P10825200T0000|102 106|Jak3
P11246887A0000|102 106|CETP
P07791760A0424|102 106|MAPK
P08529098A0549|102 106|SMF2
P08709224T0000|102 106|Ini1
P09241232A1154|102 106|Ogg1
P10498717A1048|102 106|RsmA
P08223613A0519|102 106|TSL1
P07791768A0930|102 106|swi6
P01986241A0117|102 106|CUP1
P00594617A0192|102 105|FDP
P11073870A0375|102 105|PRC
P09971776A0838|102 105|Nef
P07933107A0991|102 105|E75
P10585480A0157|102 105|Rac
P08832146A0959|102 105|PTH
P11094087T0000|102 105|MEK
P10938120A1093|102 105|PKA
P07696183A0567|102 105|Rak
P08877818A0184|102 105|Arg
P08361761A0174|102 105|Sp1
P10022850A0929|102 105|Zta
P08173532A0000|102 104|S1
P09053494A0612|102 104|CE
P01646487A0874|102 103|T
P02981840A0907|102 103|d
P07816619A0000|103 140|Schizosaccharomyces pombe pde1 mutant
P01309593A1092|103 137|adeno-associated virus P5 promoter
P07753796A0625|103 136|bovine liver eIF-2B alpha subunit
P07530502T0000|103 129|c-kit gene-encoded protein
P09737453A0557|103 128|heparin/platelet factor 4
P09121432A0000|103 127|protein-tyrosine kinases
P08892859A0563|103 126|truncated C-MYB protein
P02542612A0530|103 123|NotI repeat promoter
P09008301A0193|103 123|single-chain protein
P08707840A0753|103 123|nuclear pore complex
P09420234A0654|103 123|chaperonin-60 family
P10769144A0000|103 122|cAMP-regulated gene
P11384229A1669|103 121|beta-galactosidase
P07864652A0753|103 120|E2L1.H1.L2(1-233)
P08631667A0851|103 120|yeast dTMP kinase
P10505694A0000|103 119|interferon-gamma
P02839716A0673|103 118|HPV-11 enhancer
P09162097A1258|103 118|human homologue
P07624581A0312|103 118|thyroid hormone
P08237578A0253|103 118|HDL-cholesterol
P07803809A1852|103 118|tyrosine kinase
P07387242A0236|103 118|plasma proteins
P01767899A0136|103 117|thromboplastin
P09481826T0000|103 116|somatotrophin
P10529354A0375|103 116|P28 complexes
P10559324A0716|103 116|wild-type p53
P08088513A0419|103 115|DEAH protein
P02200315A0278|103 114|A60 antigen
P08149484A0151|103 114|PKC delta K
P02677666A0356|103 113|ag alpha 1
P09547311A1394|103 113|E-cadherin
P07636179A0000|103 113|G1 cyclins
P02555177A0488|103 112|aI5 alpha
P08683106A0374|103 112|IFN-alpha
P09418882A0760|103 111|U1 snRNA
P06379363A0415|103 110|insulin
P09099743A0585|103 110|mRNP3+4
P11074210A0623|103 110|insulin
P10428811A0628|103 110|betaARK
P09572990A0630|103 109|Stat-3
P09582331A0506|103 109|GATA-1
P10482620A1009|103 109|Stat5a
P09632637A0361|103 109|IGFIIR
P03275867A0187|103 108|HML E
P08100843A0134|103 108|mCD22
P07821790A1084|103 108|UCRBP
P10951848A0230|103 108|CD34+
P11202434T0000|103 108|ACBP2
P08692924A0328|103 108|BCL-6
P11359827T0000|103 108|SPE-J
P11038366A1322|103 108|Rts1p
P08151787T0000|103 108|IE110
P08063836A0904|103 108|c-Abl
P09622055A0207|103 108|Sli-1
P10915780A1063|103 108|Wnt-1
P10523640A0367|103 108|Stat3
P09269900A1035|103 108|c-Jun
P09130700A0676|103 108|SPC97
P01422265A0263|103 107|IgG1
P10477597A0126|103 107|GCKR
P11359907A0099|103 107|VEGF
P08300611T0000|103 107|TraI
P10533066A1197|103 107|TSC2
P11145571A0788|103 107|ISRE
P10406954A0715|103 107|RegR
P10628971A1165|103 107|RIC1
P11238447A0524|103 107|CRM1
P09305870A0894|103 107|hDlg
P10207049A0693|103 107|Glc7
P08816052A0238|103 107|FAST
P10611242A0541|103 107|SAGA
P02573836A0244|103 107|mdr1
P08497280A1397|103 107|SWI6
P02123467A0811|103 106|Sp1
P10627532A0739|103 106|p38
P09030581A0990|103 106|JNK
P09651375T0000|103 106|Dlg
P10521509A0000|103 106|GGL
P10318900A0637|103 106|8H2
P08580083A0259|103 106|Fyn
P09197241A0770|103 106|hck
P09484781A1233|103 106|PKB
P09292499A0887|103 106|PTB
P11108720A1130|103 106|MEK
P08617311A0979|103 106|IgE
P08703005A0645|103 106|Sp1
P07687320A0526|103 106|ge6
P10359663A1280|103 106|CAT
P08476854A0097|103 105|P1
P11278286A1083|103 105|GR
P09328476A0068|103 105|U4
P08455623A0630|104 143|small nucleolar RNA-associated proteins
P02355920A0681|104 136|proenkephalin germ cell cap site
P09642214A0244|104 136|mitogen-activated protein kinase
P09428787A0138|104 131|p69/71 2-5A synthetase gene
P09774641A0824|104 131|retinoblastoma gene product
P02418701A0000|104 128|carcinoembryonic antigen
P11559547T0000|104 128|orphan nuclear receptors
P10873387A0816|104 128|mouse synaptophysin gene
P08621384A0935|104 127|epidermal growth factor
P01936997A0795|104 126|TAR RNA loop sequences
P01285009A0000|104 125|mouse metallothionein
P11160902A0962|104 125|PDGF-B proto-oncogene
P09636708A0460|104 125|YccA11 mutant protein
P09872326A0566|104 125|heat shock protein 70
P02901763A0977|104 124|protein-coding genes
P08871542A1352|104 124|Mtx minimal promoter
P07525548A1380|104 124|fibronectin variants
P03499608A1054|104 123|11 beta-hydroxylase
P07935491A1182|104 123|retinoid-X receptor
P09119031A1036|104 123|core RNA polymerase
P08388510A0891|104 123|viral glycoproteins
P01811948A0289|104 122|LpS1 beta promoter
P09426143A1358|104 122|pectinolysis genes
P09346935A0459|104 122|zinc finger domain
P10918596A0000|104 122|wild-type molecule
P09328349A1679|104 122|alpha-subunit gene
P08555446A0000|104 121|35S CaMV promoter
P02021630A1104|104 120|guanine N7 sites
P08034680A0180|104 120|I kappa B kinase
P10899128A0661|104 120|forkhead protein
P07916003A0688|104 120|mouse CD79 alpha
P10940553A0912|104 120|human hPer1 gene
P01721884A0962|104 119|RNase H) domain
P09452444A0450|104 119|a reporter gene
P08005438A1185|104 119|suppressor srn1
P02223773A0000|104 118|actin monomers
P11373277A0812|104 118|AP-2alpha gene
P08617238A0334|104 118|p38 MAP kinase
P07752886A0595|104 118|wild-type FecR
P07957559A1557|104 117|p70 S6 kinase
P11433018A0756|104 117|H/ACA snoRNPs
P07935426A0714|104 116|TdT promoter
P11522658A0870|104 116|nuclear Cdk2
P01310154A0879|104 115|FBR protein
P10209031A0832|104 115|SH2 domains
P08626065A0000|104 114|citB genes
P00598012A0174|104 113|prolactin
P02158927A0000|104 113|six genes
P09278475A0465|104 112|rpo26-31
P09349501A0196|104 112|MLL-LTG9
P07646439A0535|104 111|mAb F11
P09034337A0251|104 111|p34cdc2
P09531549A0658|104 111|yAP180A
P02307850A0000|104 110|RNKP-1
P11054565A0654|104 110|GTPase
P11404016A1922|104 110|TE IIs
P09182527A0443|104 110|Nedd-4
P09837824A0419|104 110|telSMN
P08264628A0418|104 109|TFIID
P10534402A0659|104 109|Spo11
P09002672A0439|104 109|mTRF1
P08812490A1509|104 109|AQP-2
P10623804A0808|104 109|SHP-1
P08430095A0161|104 109|PRP38
P10891286A0000|104 109|actin
P09566918A1115|104 109|IRF-3
P08668142A1048|104 109|Sec7p
P09312087A0000|104 109|SHP-2
P08157009T0000|104 108|AP-1
P09098066A0119|104 108|HMW3
P08428940A1763|104 108|MerR
P09154827A0158|104 108|CCG1
P11145887A1393|104 108|JunB
P08816759A0000|104 108|RAR)
P11114718A0349|104 108|CIP1
P10336495A0547|104 108|NCoR
P11211936A1490|104 108|SAPK
P10224244T0000|104 108|INO1
P10722661A0406|104 108|CRKs
P08441394A1297|104 108|junB
P01992459A0000|104 107|RRE
P07865895A0896|104 107|LGL
P10607899A0605|104 107|Sp1
P08649427A0689|104 107|GAP
P08647802A0000|104 107|SH3
P08810278A0682|104 107|CAS
P10758489A0206|104 107|CDK
P09333026A0397|104 107|PTK
P07487908A0230|104 107|CAT
P09372968A0996|104 107|Myc
P09506959T0000|104 107|Mad
P09795213A0129|104 107|TAF
P11076860A0872|104 107|UEV
P08970984A0765|104 107|ETS
P08940134A0705|104 107|Cas
P09341182A0605|104 107|POZ
P08876167A0717|104 107|pRB
P07522163T0000|104 107|MHC
P09990315A0205|104 107|PKC
P07789809A1246|104 107|Ypt
P02981840A0907|104 106|AC
P11069756A2618|104 106|E6
P09499048A1003|104 106|gK
P06634712A0557|104 106|CT
P07061263A0293|104 105|f
P08631817T0000|105 156|human deoxyuridine triphosphate nucleotidohydrolase
P09420220A0070|105 141|HCMV major immediate-early (IE) gene
P09199348A0156|105 138|Saccharomyces cerevisiae U14 RNAs
P11029704A0378|105 137|abscisic acid-responsive element
P10767553A0100|105 136|Hepatocyte Nuclear Factor 3beta
P09849965A0000|105 132|human progesterone receptor
P07721422A0241|105 131|mouse type 2 receptor gene
P09003312A0740|105 131|microbial photolyase genes
P08846775A0110|105 129|G1 cyclin encoding genes
P08590465A0773|105 128|S. cerevisiae URA2 gene
P09372451T0000|105 128|integrin beta 1 subunit
P07836364A0000|105 127|MHC) class I molecules
P08400928A0318|105 127|levodopa/decarboxylase
P09065768A0862|105 127|mammalian lactase mRNA
P07045156A0204|105 125|human immunoglobulin
P01329039A0951|105 124|MCK left E-box site
P09829916T0000|105 124|W205 trp-lac fusion
P08576042A0765|105 124|wild-type and delta
P07748493A1045|105 123|egg-laying hormone
P09121774A0611|105 122|MAP kinase family
P11223246A0359|105 122|pRb-binding motif
P02162467A0311|105 121|cAMP/CAP complex
P02900760A0073|105 121|RNA polymerase I
P10587576A0596|105 121|SH3GL pseudogene
P09368057A1083|105 120|GC-rich element
P04890336T0001|105 119|FTA antibodies
P08662936A0428|105 119|chicken TEF-1A
P08065331A0279|105 118|wild-type HLF
P07795576A0126|105 117|plasma renin
P10805737T0000|105 117|beta subunit
P09535908A0321|105 117|80 kDa (LNX)
P09278450A1338|105 116|NF1 protein
P09539721A0599|105 116|pR promoter
P10779352T0000|105 116|Rb proteins
P10502402A0533|105 115|TRAIL gene
P01427034A0440|105 114|S13 genes
P09759865A0673|105 114|NF-kappaB
P09553040A0651|105 114|PLC-gamma
P07644503A0729|105 114|RAR gamma
P08396913A1379|105 113|DGK gene
P10763827A1158|105 113|TGFbeta1
P10322629A0198|105 113|5/8 gene
P01682509A0539|105 112|HIV LTR
P10366446A0893|105 112|FLI LRR
P10381377T0000|105 112|insulin
P01545787A0345|105 111|NFAT-1
P06279309A0000|105 111|v-erbB
P01649318A1222|105 111|EBNA-2
P11122381A0908|105 111|GM-CSF
P09383156A0691|105 111|PNPase
P01545818A0696|105 110|v-Src
P11221845A1713|105 110|mlt 1
P02123877A1452|105 110|fos-B
P01633435A0743|105 110|MEF-2
P10799501A1391|105 110|Cdc42
P08062833A0000|105 110|E box
P02196565T0000|105 109|Gal4
P10413676A1193|105 109|FRNK
P09525891T0000|105 109|CRS1
P07576307A0144|105 109|rENK
P10567430A0785|105 109|GRK2
P07926748A0383|105 109|not1
P09660838A0920|105 109|HSF1
P10543728A0358|105 109|AP-1
P07581364A0500|105 109|C212
P08144615A0533|105 109|NFBD
P11438654A1237|105 109|Pak1
P07871721A0392|105 109|p223
P09539779A0621|105 109|Arp1
P01321277A0664|105 108|ros
P09239635A0477|105 108|IgA
P09084174A0667|105 108|asd
P02536160A0518|105 108|CAT
P09891046A0269|105 108|PKR
P10679065A1217|105 108|BCR
P03577670A0236|105 108|ASA
P09305755A0540|105 108|NF1
P10207049A1001|105 108|HSF
P08937981A0840|105 108|p46
P01446828A1088|105 108|AP2
P11350812A0829|105 108|ERK
P09028942A0000|105 108|jun
P08622887A1026|105 108|DBD
P11255423A0211|105 108|CD4
P10574913A1108|105 108|Src
P09858714A1171|105 108|srd
P00369397A0280|105 107|LH
P11063127A0000|105 107|PP
P02176822A0000|105 107|BS
P10893243T0000|106 190|selenocysteine tRNA gene transcription activating factor family zinc finger proteins
P10564280A0140|106 169|nuclear transcriptosomal component scaffold attachment factor B
P07897359A0354|106 155|recombinant vaccinia virus-encoding T7 polymerase
P09238860A0175|106 150|cyclic AMP response element binding proteins
P11094087T0000|106 143|extracellular signal-regulated kinase
P03076124A0496|106 138|hydroxymethylglutaryl coenzyme A
P01549123A0480|106 137|bZIP transcriptional activators
P10681588A0899a|106 137|activating transcription factor
P10681588A0899b|106 137|activating transcription factor
P10512857A0000|106 136|TCF-type transcription factors
P10891441A0871|106 136|phosphatidylinositol 3' kinase
P01529530T0000|106 133|ISGF3 transcription complex
P08021175A0486|106 133|cyclic AMP receptor protein
P08828152A1825|106 131|eukaryotic polymerases II
P09147420T0000|106 131|human cytomegalovirus IE1
P09311796A0218|106 130|TATA-box binding protein
P08439564A0883|106 128|human transcobalamin I
P08663310A0157|106 127|immediate-early genes
P07708497A0000|106 126|T3 response elements
P10379942T0000|106 126|glycoprotein M genes
P09611229A1664|106 126|transcription factor
P10739671A0136|106 126|human c-myb intron 1
P08065310A1144|106 124|receptor-inhibitor
P10454561A0594|106 124|phytohemagglutinin
P01850127A0000|106 123|non-snRNP protein
P06098828A0352|106 123|RNA polymerase II
P08940298A0962|106 123|estrogen receptor
P09371455A0000|106 121|metalloprotease
P06322183A1070|106 120|NPT II protein
P07494314A1287|106 120|LMP2A homologs
P10197985A0145|106 120|5' splice-site
P09057648A0422|106 120|c-fos promoter
P10572130A1623|106 120|RNA polymerase
P01620129A0417|106 119|H4-FO108 gene
P08138180A0593|106 119|SPT10 protein
P09169593T0000|106 119|casein kinase
P10704499A0682|106 119|FGF) receptor
P07835886A0894|106 118|serpin genes
P11732088A0471|106 118|use secretin
P09629449A0540|106 118|PMN elastase
P07730337T0000|106 117|RC3 protein
P08877818A0184|106 117|Gln-His-Pro
P09738010A0305|106 117|E-box motif
P07984088A0592|106 117|L. ivanovii
P09294161A1103|106 117|globin loci
P01331086T0000|106 116|ets motifs
P08430087A0467|106 116|beta gamma
P08437521A0000|106 115|areA gene
P09628890A0455|106 115|HA trimer
P09990060A0937|106 115|GABPalpha
P07588777A1524|106 113|p42mapk
P10454568A0815|106 113|PDGF-BB
P08125337A0940|106 112|Erg24p
P09649437A1140|106 112|GATA-1
P10545248A0567|106 112|Tinman
P08418183A0000|106 112|type I
P02469451A0239|106 111|MAO-B
P10376874A0759|106 111|eRF3C
P08276234A0119|106 111|c-fos
P09528758T0000|106 111|Oct-6
P08088777A0754|106 111|Spna2
P08709637A1471|106 111|STATs
P11408591A0000|106 111|v-src
P11179664T0000|106 111|RUNX1
P07651424A0743|106 111|SSM1b
P01655713A0294|106 110|exs1
P01768648A0853|106 110|cRel
P11435578A2231|106 110|CREB
P08108413A0964|106 110|PANG
P10544037A0617|106 110|FZD4
P11113179A0541|106 110|SRC1
P09545323T0000|106 110|PMS1
P11560992A1184|106 110|MKK7
P08654375A0544|106 110|Bob1
P10790390X0000|106 110|mdg4
P08542027A1471|106 110|CD44
P07523363A0440|106 110|USF2
P01078982A0227|106 109|ALG
P09129147A0644|106 109|ATF
P09045919A1250|106 109|p50
P11333268A1521|106 109|Ras
P09794795A0183|106 109|Jak
P11255252A0961|106 109|FXR
P10233946A0000|106 109|Rex
P10597222A1371|106 109|p21
P10748125A0000|106 109|PP1
P01619114A0383|106 109|MSP
P02307850A1197|106 108|NK
P09328476A0068|106 108|U6
P11223257A0404|106 108|JA
P09431812A0576|106 108|Ci
P07802655T0000|106 108|L1
P08637711A1121|106 108|IR
P08289793A1226|107 149|Oct4 embryonic stem cell-specific enhancer
P02204621T0000|107 148|gene encoding tRNA nucleotidyltransferase
P10482516T0000|107 141|Bacillus subtilis trpEDCFBA operon
P09325273A1240|107 137|branched poly-ubiquitin chains
P10684265T0000|107 136|ubiquitin-homologous proteins
P11280799A1025|107 136|PTHrP-neutralizing antibodies
P09371596T0000|107 135|nuclear receptor superfamily
P09949160A0600|107 135|epsilon and eta PKC isoforms
P01791754T0000|107 134|Escherichia coli haemolysin
P07768953T0039|107 134|calmodulin-binding IQ motif
P09753774A2246|107 134|fructosyl transferase genes
P08575754T0000|107 133|cyclin D-dependent kinases
P02110148A0423|107 130|B. subtilis IF2 protein
P11595176T0000|107 130|AF1q translocation gene
P02850967T0000|107 130|cAMP-responsive element
P02023097A0000|107 128|viral structural gene
P07490770A0267|107 128|yeast coxI intron aI4
P11112700A1936|107 128|GSR-containing domain
P06290859A0426|107 126|anti-HBs antibodies
P09285789A0712|107 126|pleckstrin homology
P10477620A0580|107 126|I kappa B serine 32
P11071924A0588|107 126|RING finger domains
P09811695A1146|107 125|TM Env protein p15
P08001792A0284|107 124|adenylate cyclase
P11011139A0000|107 124|RNA polymerase II
P02002051A0276|107 123|bovine C-subunit
P03373755T0001|107 123|gastrin receptor
P08289783A1476|107 123|Oct-3/4 promoter
P02176152A0896|107 123|AP1 binding site
P02144610A1306|107 123|T beta 2 element
P10400785A0912|107 123|small GTPase Ran
P02023904A0120|107 122|56-kDa proteins
P10931927A0655|107 122|Klenow fragment
P09767687T0000|107 121|rbcL sequences
P10781604A0827|107 121|Rsp5 WW domain
P02333749A0411|107 120|P. orbiculare
P09872832A1262|107 120|interleukin-6
P09705497A0227|107 120|mms2-1 mutant
P07949164A0799|107 120|IL-6 promoter
P10026824A0309|107 119|V1a receptor
P10523647A1001|107 119|AP-1 factors
P10713161A0985|107 119|Smt3-protein
P01454819A0000|107 118|EC 2.4.2.31
P01573270A0000|107 118|HLA class I
P08722011A0103|107 118|protein L11
P10454550A0960|107 118|Snf1 kinase
P01531632A0000|107 118|fibrillarin
P02502602A0323|107 117|hemoglobin
P04787472T0001|107 117|human body
P07679390A0721|107 116|aFGF mRNA
P09754571A0169|107 116|RAG1 mRNA
P11034392A1072|107 116|NF-kappaB
P07806507A0121|107 115|CD3 zeta
P10940892A0573|107 115|D4Mit147
P09023378A0959|107 115|C-repeat
P11504709A0981|107 115|Ets site
P08647434A1124|107 114|hTAF(II
P09348226A0852|107 113|Crk-II
P11145563A0202|107 113|SREBPs
P10233147A0218|107 113|Cdc42p
P10393422A0476|107 113|LAMB2L
P11162936A2727|107 113|ERbeta
P09687498A1173|107 113|c-ErbA
P02115122A0562|107 112|v-Fos
P10359575A0317|107 112|bIgG2
P08416952A0956|107 112|Nmt1p
P10400593A1084|107 112|virE2
P08223875A0711|107 112|CD45+
P09671496A0557|107 112|c-Cbl
P10446149A0809|107 112|B-Raf
P01333317A1008|107 111|s) I
P08995410A0000|107 111|eIF2
P10736223A1227|107 111|PrgX
P01707659A0458|107 111|Ch28
P10369757A0000|107 111|ArgR
P09030581A0990|107 111|SAPK
P09241232A0653|107 111|AP/C
P02668691A0570|107 111|nagD
P09651375T0000|107 111|ZO-1
P09315633A0333|107 111|IRFs
P09705324A0213|107 111|HNF1
P08621719A0568|107 111|Grb2
P01767592A0682|107 111|HAP3
P09715278A1526|107 111|FGF4
P09618481T0000|107 111|Smad
P10861906A1479|107 111|CCL1
P01328197A0985|107 110|ras
P07749461A1022|107 110|CAT
P10771709A0291|107 110|IgM
P08823163T0000|107 110|SH3
P09328343A0181|107 110|E2A
P09420239A1937|107 110|Nef
P09753241A0524|107 110|MPO
P10428811A1067|107 110|Src
P01735447A0833|107 110|PrB
P07707523A0704|107 110|LMP
P11113179A1020|107 110|AD1
P08959778A0292|107 110|DGF
P11003652A0961|107 110|PAK
P11375392T0000|107 110|Sp3
P10910908A0767|107 110|EPO
P09553134A0596|107 110|PP1
P08131746A0140|107 110|MEK
P11704380A1608|107 110|Rev
P09484781A1233|107 110|Akt
P01452037A0000|107 110|PGK
P02902656A0481|107 109|TR
P10318900A0637|107 109|G5
P10215485A0837|107 109|mI
P08530345A0880|107 109|HD
P06318322A0350|108 153|simian sarcoma associated virus and proto-sis
P10521509A0000|108 145|G protein gamma subunit-like) domains
P11092886A0341|108 141|phosphoenolpyruvate carboxykinase
P10491187T0000|108 140|histidine phosphocarrier protein
P10860752A1601|108 139|bacteriophage T4 DNA polymerase
P09252406A0511|108 138|phosphatidylinositol 3'-kinase
P02962859A0276|108 135|U1 snRNP-specific A antigen
P08386318A1102|108 135|cyclic AMP-dependent kinase
P09852005A1287|108 134|opaque-phase-specific gene
P11069756A2618|108 133|Papillomavirus E6 protein
P08293993A0948|108 131|S. cerevisiae invertase
P01327758A0000|108 130|full-length E2 protein
P04014833A0400|108 126|phytohemagglutinin
P08253387A1291|108 126|TCR alpha enhancer
P09193077A0000|108 125|chalcone synthase
P11569900A0660|108 125|V Leiden mutation
P02045366A1149|108 124|KlaC polypeptide
P07534286A0842|108 123|human paxil-lin
P08531373A0470|108 123|SS-B antibodies
P10490835T0000|108 123|tyrosine kinase
P10359663A0425|108 123|simian virus 40
P07901125A0416|108 123|ARO3 homologues
P04085589A0264a|108 122|serum lysozyme
P09252397A0081|108 122|human JUN gene
P10942599A1298|108 122|Hoxa-1 protein
P04085589A0264b|108 122|serum lysozyme
P08164679A0809|108 119|Runt domain
P09224811A0000|108 119|P450R) gene
P06369355A0834|108 118|A2 protein
P09271397A1596|108 118|SREBP site
P08070654A0574|108 118|caltractin
P10778757A0000|108 118|Miniature1
P08070004A0782|108 118|t1/2 alpha
P08916960A0350|108 118|bcl-2 gene
P02308496A0000|108 117|C-peptide
P11238447A0524|108 117|exportin1
P11543662A0562|108 117|L protein
P07622521A0418|108 117|PH domain
P11223186A1095|108 117|AP-1 site
P09010223A1850|108 116|EWS-FLI1
P08189503A0000|108 115|pMIDI-C
P08473731A0149|108 115|sIgM+ B
P10606515A0389|108 115|DNase I
P11094066A1194|108 115|FKHR-L1
P01925092A0000|108 114|fibrin
P02358975A0709|108 114|gluten
P10799590A0431|108 114|Jkappa
P10601344A1653|108 114|beta1D
P11227182A1475|108 114|leptin
P01552457T0000|108 113|PT-01
P09442080A0856|108 113|SHP-2
P08900190A0430|108 113|c-Fos
P01569584A0672|108 113|6F6.1
P07483276A0139|108 113|UL3.5
P01710979T0000|108 112|p110
P10446998A0955|108 112|junB
P10861906A0999|108 112|IME2
P03004982A1094|108 112|fbcF
P10637230A0332|108 112|IFNs
P11160688A1726|108 112|ICP0
P02505087A1037|108 112|GCN4
P09368026A0435|108 112|FGF2
P10684111A1411|108 112|MAPK
P08444345A0403|108 112|EFIA
P11094066A0505|108 112|IL-3
P11007961A0930|108 112|PP2A
P07791768A0930|108 112|swi4
P02153683A1579|108 111|Na+
P09753774A1642|108 111|GF3
P09162084A0956|108 111|SH2
P07699632A0715|108 111|SPA
P09712898T0000|108 111|p38
P07742363A0135|108 111|dsI
P07919540A1119|108 111|Myc
P03150296A0594|108 111|GFR
P08132574A0831|108 111|HLA
P08647802A0000|108 111|SH2
P07494244A0335|108 111|ATF
P07865895A0896|108 110|NK
P09086268A0611|108 110|P7
P09032267A0850|108 110|TR
P10942587A0981|108 110|E7
P10514493A0199|109 149|endogenous Ntr-1 gene and reporter genes
